System/Element;PNO-LCCSD(T)-F12b
s_ca_17_H;-0.499946081761
s_ca_17_N;-54.527935638
s_ca_17_O;-75.002351758
s_ca_17_Ca;-677.107661180
;
s_ca_18;-1664.243526480
s_ca_18_H;-0.499946081761
s_ca_18_C;-37.788214091
s_ca_18_N;-54.527853781
s_ca_18_Ca;-677.107353709
;
s_ca_19;-1558.800235920
s_ca_19_H;-0.499946081761
s_ca_19_C;-37.788254585
s_ca_19_N;-54.527901062
s_ca_19_O;-75.002304938
s_ca_19_F;-99.665033369
s_ca_19_S;-397.672789445
s_ca_19_Ca;-677.107531307
;
s_ca_20;-1617.427894740
s_ca_20_H;-0.499946081761
s_ca_20_C;-37.788283175
s_ca_20_N;-54.527934445
s_ca_20_O;-75.002350143
s_ca_20_Ca;-677.107656700
;
s_ca_21;-1618.579741580
s_ca_21_H;-0.499946081761
s_ca_21_C;-37.788278109
s_ca_21_N;-54.527928530
s_ca_21_O;-75.002342134
s_ca_21_Ca;-677.107634483
;
s_ca_22;-4589.812473420
s_ca_22_H;-0.499946081761
s_ca_22_C;-37.788311721
s_ca_22_N;-54.527967776
s_ca_22_O;-75.002395278
s_ca_22_F;-99.665146972
s_ca_22_S;-397.672930455
s_ca_22_Cl;-459.703516751
s_ca_22_Ca;-677.107781898
;
s_ca_23;-1136.750364140
s_ca_23_Cl;-459.703696299
s_ca_23_Ca_cation;-676.884037077
;
s_ca_24;-870.207562770
s_ca_24_H;-0.499946081761
s_ca_24_C;-37.788254213
s_ca_24_Ca_cation;-676.883648537
;
s_ca_25;-2821.866360640
s_ca_25_H;-0.499946081761
s_ca_25_C;-37.788303995
s_ca_25_N;-54.527958755
s_ca_25_Si;-288.938724820
s_ca_25_S;-397.672911387
s_ca_25_Ca_cation;-676.883814585
s_ca_25_Ca;-677.107748013
;
s_rb_1;-318.258531950
s_rb_1_H;-0.499946081761
s_rb_1_C;-37.788319890
s_rb_1_N;-54.527977314
s_rb_1_O_anion;-75.055977471
s_rb_1_O;-75.002408194
s_rb_1_Rb;-24.066359419
;
s_rb_2;-333.966098590
s_rb_2_H;-0.499946081761
s_rb_2_B;-24.601590584
s_rb_2_C_anion;-37.833184435
s_rb_2_C;-37.788309789
s_rb_2_N;-54.527965520
